Task,Owner,DueDate,Status,Category,Priority,Source
Apply MLSA,Jaymee,This week,Not Started,Ambassador,High,task_tracker_baseline.csv
Cisco Intro to Cybersecurity,Jaymee,Apr 20,Not Started,Certification,High,task_tracker_baseline.csv
Forage ANZ,Jaymee,This week,Not Started,Internship,Medium,task_tracker_baseline.csv
GitHub Campus Experts,Jaymee,Jul 2026,Waiting,Ambassador,Medium,task_tracker_baseline.csv
Globe Summer Internship,Jaymee,Jan 2027,Not Started,Internship,Low,task_tracker_baseline.csv
ISACA SheLeadsTech,Jaymee,May 5 2026,In Progress,Scholarship,High,task_tracker_baseline.csv
Post Instagram carousel,Jaymee,Today,Ready,Content,High,task_tracker_baseline.csv
Request,Jaymee,January 2027,Not Started,Admin,Low,meeting_notes.txt
Request HAU transcript,Jaymee,This week,Not Started,Admin,High,task_tracker_baseline.csv
Samsung Galaxy Campus B4,Jaymee,May 2026,Watching,Ambassador,Medium,task_tracker_baseline.csv
Start,Jaymee,January 2027,Not Started,Admin,Low,meeting_notes.txt
Start Cisco Intro,Jaymee,this week,Not Started,Certification,Low,meeting_notes.txt
