Task, Category, Due Date, Status, Priority
Apply MLSA, Ambassador, This week, Not Started, High
Post Instagram carousel, Content, Today, Ready, High
ISACA SheLeadsTech, Scholarship, May 5 2026, In Progress, High
Cisco Intro to Cybersecurity, Certification, Apr 20, Not Started, High
Request HAU transcript, Admin, This week, Not Started, High
Forage ANZ, Internship, This week, Not Started, Medium
Samsung Galaxy Campus B4, Ambassador, May 2026, Watching, Medium
Globe Summer Internship, Internship, Jan 2027, Not Started, Low
GitHub Campus Experts, Ambassador, Jul 2026, Waiting, Medium
